,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains,substrates,products
176,b4117,P28629,ARGDC,2vyc,3.40.50.2300.252.1.1.1.1.139;3.40.50.2300.252.1.1.1.2.139;3.40.50.2300.252.1.1.1.3.139;3.40.50.2300.252.1.1.1.4.139;3.40.50.2300.252.1.1.1.5.139;3.40.50.2300.252.1.1.1.6.139;3.40.50.2300.252.1.1.1.7.139;3.40.50.2300.252.1.1.1.8.139;3.40.50.2300.252.1.1.1.9.139;3.40.50.2300.252.1.1.1.10.139;3.40.640.10.122.2.1.1.1.300;3.40.640.10.122.2.1.1.2.300;3.40.640.10.122.2.1.1.3.300;3.40.640.10.122.2.1.1.4.300;3.40.640.10.122.2.1.1.5.300;3.40.640.10.122.2.1.1.6.300;3.40.640.10.122.2.1.1.7.300;3.40.640.10.122.2.1.1.8.300;3.40.640.10.122.2.1.1.9.300;3.40.640.10.122.2.1.1.10.300;3.90.100.10.2.1.1.1.1.125;3.90.100.10.2.1.1.1.2.125;3.90.100.10.2.1.1.1.3.125;3.90.100.10.2.1.1.1.4.125;3.90.100.10.2.1.1.1.5.125;3.90.100.10.2.1.1.1.6.125;3.90.100.10.2.1.1.1.7.125;3.90.100.10.2.1.1.1.8.125;3.90.100.10.2.1.1.1.9.125;3.90.100.10.2.1.1.1.10.125;3.90.1150.10.184.1.1.1.1.190;3.90.1150.10.184.1.1.1.2.190;3.90.1150.10.184.1.1.1.3.190;3.90.1150.10.184.1.1.1.4.190;3.90.1150.10.184.1.1.1.5.190;3.90.1150.10.184.1.1.1.6.190;3.90.1150.10.184.1.1.1.7.190;3.90.1150.10.184.1.1.1.8.190;3.90.1150.10.184.1.1.1.9.190;3.90.1150.10.184.1.1.1.10.190,2vycA01;2vycB01;2vycC01;2vycD01;2vycE01;2vycF01;2vycG01;2vycH01;2vycI01;2vycJ01;2vycA02;2vycB02;2vycC02;2vycD02;2vycE02;2vycF02;2vycG02;2vycH02;2vycI02;2vycJ02;2vycA04;2vycB04;2vycC04;2vycD04;2vycE04;2vycF04;2vycG04;2vycH04;2vycI04;2vycJ04;2vycA03;2vycB03;2vycC03;2vycD03;2vycE03;2vycF03;2vycG03;2vycH03;2vycI03;2vycJ03,arg__L_c;h_c,co2_c;agm_c
177,b2938,P21170,ARGDCpp,3nzq,1.20.58.930.1.2.1.1.1.96;1.20.58.930.1.2.1.1.2.96;2.40.37.10.20.3.1.1.1.198;2.40.37.10.20.3.1.1.2.198;3.20.20.10.32.1.2.1.1.277;3.20.20.10.32.1.2.1.2.277,3nzqA03;3nzqB03;3nzqA01;3nzqB01;3nzqA02;3nzqB02,arg__L_p;h_p,co2_p;agm_p
178,b3960,P11447,ARGSL,1tj7,1.10.40.30.11.1.1.1.1.71;1.10.40.30.11.1.1.1.2.71;1.10.275.10.15.1.1.1.1.105;1.10.275.10.15.1.1.1.2.101;1.20.200.10.11.1.1.1.1.279;1.20.200.10.11.1.1.1.2.279,1tj7A03;1tj7B03;1tj7A01;1tj7B01;1tj7A02;1tj7B02,fum_c;arg__L_c;argsuc_c,fum_c;arg__L_c;argsuc_c
179,b3172,P0A6E4,ARGSS,1k92,1.10.287.400.1.1.1.1.1.64;3.40.50.620.33.1.1.1.1.160;3.90.1260.10.1.1.1.1.1.215,1k92A03;1k92A01;1k92A02,atp_c;asp__L_c;citr__L_c,amp_c;argsuc_c;ppi_c;h_c
180,b4096;b4099;b4100;b4101,P16679;P16687;P16686;P16685,ARMEPNS,,,,atp_c;mepn_c,rpntp_c;ade_c
181,b3433,P0A9Q9,ASAD,1t4b,3.30.360.10.31.1.1.1.1.216;3.30.360.10.31.1.1.1.2.216;3.40.50.720.200.1.2.1.1.151;3.40.50.720.200.1.2.1.2.151,1t4bA02;1t4bB02;1t4bA01;1t4bB01,nadph_c;nadp_c;pi_c;4pasp_c;h_c;aspsa_c,nadph_c;nadp_c;pi_c;4pasp_c;h_c;aspsa_c
182,b4192,P39300,ASCBPL,2wyl,3.60.15.10.58.1.1.1.1.291;3.60.15.10.58.1.1.2.1.292;3.60.15.10.58.1.1.3.1.294;3.60.15.10.58.1.1.4.1.294;3.60.15.10.58.1.1.5.1.294;3.60.15.10.58.1.1.6.1.296,2wylC00;2wylD00;2wylB00;2wylE00;2wylF00;2wylA00,ascb6p_c;h2o_c,3dhgulnp_c;h_c
183,b1767,P0A962,ASNN,2p2d,3.40.50.40.3.1.1.1.9.123;3.40.50.40.3.1.1.1.10.123;3.40.50.40.3.1.1.1.11.123;3.40.50.40.3.1.1.1.12.124;3.40.50.1170.2.1.1.1.1.208;3.40.50.1170.2.1.1.1.2.207;3.40.50.1170.2.1.1.1.3.207;3.40.50.1170.2.1.1.1.4.206,2p2dA02;2p2dB02;2p2dD02;2p2dC02;2p2dD01;2p2dA01;2p2dC01;2p2dB01,h2o_c;asn__L_c,asp__L_c;nh4_c
184,b0828,P37595,ASNN,3c17,,,h2o_c;asn__L_c,asp__L_c;nh4_c
185,b2957,P00805,ASNNpp;GLUNpp,1nns,3.40.50.40.2.4.1.1.1.114;3.40.50.40.2.4.1.1.2.114;3.40.50.1170.1.5.1.1.1.212;3.40.50.1170.1.5.1.1.2.212,1nnsA02;1nnsB02;1nnsA01;1nnsB01,asn__L_p;gln__L_p;h2o_p,asp__L_p;nh4_p;glu__L_p
186,b0674,P22106,ASNS1;ASNS2,,,,atp_c;gln__L_c;h2o_c;asp__L_c;nh4_c,glu__L_c;ppi_c;asn__L_c;amp_c;h_c
187,b3744,P00963,ASNS2,12as,3.30.930.10.28.2.1.1.1.327;3.30.930.10.28.2.1.1.2.327,12asA00;12asB00,atp_c;asp__L_c;nh4_c,ppi_c;amp_c;h_c;asn__L_c
188,b0131,P0A790,ASP1DC,1pqh,2.40.40.20.1.1.1.1.1.114;2.40.40.20.1.1.1.2.1.118,1pqhB00;1pqhA00,h_c;asp__L_c,co2_c;ala_B_c
189,b4244;b4245,P0A7F3;P0A786,ASPCT,4fyy;1ekx,2.30.30.20.1.1.1.1.1.53;2.30.30.20.1.1.1.1.2.53;3.30.70.140.1.1.1.1.1.93;3.30.70.140.1.1.1.1.2.93;3.40.50.1370.7.1.1.1.2.158;3.40.50.1370.7.1.1.1.3.158;3.40.50.1370.8.2.1.1.1.152;3.40.50.1370.8.2.1.1.2.152;3.40.50.1370.7.1.1.1.4.158;3.40.50.1370.7.1.1.1.5.158;3.40.50.1370.7.1.1.1.6.158;3.40.50.1370.8.2.1.1.3.152;3.40.50.1370.8.2.1.1.4.150;3.40.50.1370.8.2.1.1.7.149,4fyyB02;4fyyD02;4fyyB01;4fyyD01;4fyyA02;4fyyC02;4fyyA01;4fyyC01;1ekxA02;1ekxB02;1ekxC02;1ekxA01;1ekxC01;1ekxB01,cbp_c;asp__L_c,cbasp_c;pi_c;h_c
190,b4245,P0A786,ASPCT,1ekx,3.40.50.1370.7.1.1.1.4.158;3.40.50.1370.7.1.1.1.5.158;3.40.50.1370.7.1.1.1.6.158;3.40.50.1370.8.2.1.1.3.152;3.40.50.1370.8.2.1.1.4.150;3.40.50.1370.8.2.1.1.7.149,1ekxA02;1ekxB02;1ekxC02;1ekxA01;1ekxC01;1ekxB01,cbp_c;asp__L_c,cbasp_c;pi_c;h_c
191,b0002,P00561,ASPK;HSDy,,,,hom__L_c;nadph_c;nadp_c;atp_c;4pasp_c;asp__L_c;h_c;aspsa_c;adp_c,hom__L_c;nadph_c;nadp_c;atp_c;4pasp_c;asp__L_c;h_c;aspsa_c;adp_c
192,b3940,P00562,ASPK;HSDy,,,,hom__L_c;nadph_c;nadp_c;atp_c;4pasp_c;asp__L_c;h_c;aspsa_c;adp_c,hom__L_c;nadph_c;nadp_c;atp_c;4pasp_c;asp__L_c;h_c;aspsa_c;adp_c
193,b4024,P08660,ASPK,2j0w,1.20.120.1320.1.1.1.1.1.93;3.30.70.260.33.1.1.1.1.81;3.30.70.260.39.1.1.1.1.75;3.40.1160.10.22.1.1.1.1.198,2j0wA02;2j0wA03;2j0wA04;2j0wA01,adp_c;atp_c;asp__L_c;4pasp_c,adp_c;atp_c;asp__L_c;4pasp_c
194,b2574,P10902,ASPO3;ASPO4;ASPO5;ASPO6,1chu,1.20.58.100.6.1.1.2.1.88;3.50.50.60.26.1.2.1.1.243;3.90.700.10.5.1.2.1.1.104,1chuA03;1chuA01;1chuA02,o2_c;asp__L_c;mqn8_c;fum_c;q8_c,mql8_c;iasp_c;h2o2_c;q8h2_c;h_c;succ_c
195,b4139,P0AC38,ASPT,1jsw,1.10.40.30.14.1.1.1.1.50;1.10.40.30.14.1.1.1.2.49;1.10.40.30.14.1.1.1.3.49;1.10.275.10.2.7.1.1.1.137;1.10.275.10.2.7.1.1.2.137;1.10.275.10.2.7.1.1.3.137;1.10.275.10.2.7.1.1.4.137;1.20.200.10.2.8.1.1.1.268;1.20.200.10.2.8.1.1.2.268;1.20.200.10.2.8.1.1.3.268;1.20.200.10.2.8.1.1.4.268,1jswB03;1jswA03;1jswD03;1jswA01;1jswB01;1jswC01;1jswD01;1jswA02;1jswB02;1jswC02;1jswD02,asp__L_c,fum_c;nh4_c
196,b0928,P00509,ASPTA;CYSTA;PHETA1;TYRTA,2q7w,3.40.640.10.23.1.1.1.1.270;3.90.1150.10.51.1.2.2.2.100,2q7wA02;2q7wA01,glu__L_c;cys__L_c;akg_c;oaa_c;asp__L_c;phpyr_c;phe__L_c;34hpp_c;tyr__L_c,glu__L_c;akg_c;oaa_c;asp__L_c;phpyr_c;mercppyr_c;phe__L_c;34hpp_c;tyr__L_c
197,b4054,P04693,ASPTA;LEUTAi;PHETA1;TYRTA,,,,glu__L_c;4mop_c;akg_c;oaa_c;asp__L_c;phpyr_c;phe__L_c;34hpp_c;tyr__L_c,glu__L_c;akg_c;oaa_c;asp__L_c;phpyr_c;leu__L_c;phe__L_c;34hpp_c;tyr__L_c
198,b1747,P0AE37,AST,,,,succoa_c;arg__L_c,coa_c;h_c;sucarg_c
199,b1539,P39831,ATHRDHr;DSERDHr;LSERDHr;MSAR,3asv,3.40.50.720.116.1.1.1.3.248;3.40.50.720.116.1.1.1.4.248;3.40.50.720.116.1.1.1.5.248;3.40.50.720.116.1.1.1.6.248;3.40.50.720.116.1.1.1.7.248;3.40.50.720.116.1.1.1.8.248,3asvA00;3asvB00;3asvC00;3asvD00;3asvE00;3asvF00,2aobut_c;nadph_c;msa_c;nadp_c;athr__L_c;ser__D_c;h_c;2amsa_c;ser__L_c,2aobut_c;nadph_c;nadp_c;athr__L_c;ser__D_c;h_c;3hpp_c;2amsa_c;ser__L_c
200,b2019,P60757,ATPPRT,1h3d,3.30.70.120.17.1.2.1.1.67;3.40.190.10.145.1.2.1.1.131;3.40.190.10.210.2.2.1.1.90,1h3dA03;1h3dA01;1h3dA02,atp_c;prpp_c,prbatp_c;ppi_c
201,b3731;b3732;b3733;b3734;b3735;b3736;b3737;b3738;b3739,P0A6E6;P0ABB4;P0ABA6;P0ABB0;P0ABA4;P0ABA0;P68699;P0AB98;P0ABC0,ATPS4rpp,,,,h_p;atp_c;pi_c;h2o_c;h_c;adp_c,h_p;atp_c;pi_c;h2o_c;h_c;adp_c
202,b3731;b3732;b3733;b3734;b3735;b3736;b3737;b3738,P0A6E6;P0ABB4;P0ABA6;P0ABB0;P0ABA4;P0ABA0;P68699;P0AB98,ATPS4rpp,,,,h_p;atp_c;pi_c;h2o_c;h_c;adp_c,h_p;atp_c;pi_c;h2o_c;h_c;adp_c
203,b0312,P17445,BETALDHx;BETALDHy,,,,betald_c;h2o_c;nadp_c;nad_c,nadph_c;h_c;nadh_c;glyb_c
204,b1734,P17411,BGLA1;MC6PH,,,,6pgg_c;h2o_c;mchtbs6p_c,glc__D_c;gam_c;g6p_c;acgam6p_c
205,b0827,P12281,BMOCOS;BWCOS;MOCOS;WCOS,1g8l,2.40.340.10.2.1.1.1.1.74;2.40.340.10.2.1.1.1.2.74;2.170.190.11.2.1.1.1.1.92;2.170.190.11.2.1.1.1.2.92;3.40.980.10.10.2.1.1.1.180;3.40.980.10.10.2.1.1.2.180;3.90.105.10.2.1.1.1.1.57;3.90.105.10.2.1.1.1.2.57,1g8lA04;1g8lB04;1g8lA03;1g8lB03;1g8lA01;1g8lB01;1g8lA02;1g8lB02,tungs_c;h_c;mobd_c;wco_c;mptamp_c;moco_c,wco_c;cu2_c;h2o_c;amp_c;bwco_c;bmoco_c;moco_c
206,b3857,P32173,BMOGDS1;BMOGDS2;BWCOGDS1;BWCOGDS2;MOGDS,1e5k,3.90.550.10.28.1.1.1.1.188,1e5kA00,bwco1gdp_c;bmoco1gdp_c;gtp_c;h_c;bwco_c;bmoco_c;moco_c,bmoco1gdp_c;mocogdp_c;bwcogdp_c;ppi_c;bmocogdp_c;bwco1gdp_c
207,b3856;b3857,P32125;P32173,BMOGDS1;BMOGDS2;BWCOGDS1;BWCOGDS2;MOGDS,1np6;1e5k,2.20.25.120.1.1.1.1.1.27;2.20.25.120.1.1.1.1.2.33;3.40.50.300.374.1.1.1.1.136;3.40.50.300.374.1.1.1.2.131;3.90.550.10.28.1.1.1.1.188,1np6A02;1np6B02;1np6B01;1np6A01;1e5kA00,bwco1gdp_c;bmoco1gdp_c;gtp_c;h_c;bwco_c;bmoco_c;moco_c,bmoco1gdp_c;mocogdp_c;bwcogdp_c;ppi_c;bmocogdp_c;bwco1gdp_c
208,b4214,P22255,BPNT,,,,h2o_c;pap_c,amp_c;pi_c
209,b3551,P20099,BSORx;BSORy,,,,nadph_c;btnso_c;h_c;nadh_c,h2o_c;nadp_c;btn_c;nad_c
210,b0775,P12996,BTS5,1r30,3.20.20.70.221.1.1.1.1.312;3.20.20.70.221.1.1.1.2.313,1r30A00;1r30B00,2fe2s_c;amet_c;dtbt_c,met__L_c;dad_5_c;h_c;btn_c;2fe1s_c
211,b1732,P21179,CAT,3ttv,1.20.1370.20.2.1.1.1.1.104;1.20.1370.20.2.1.1.1.2.104;1.20.1370.20.2.1.1.1.3.104;1.20.1370.20.2.1.1.1.4.104;2.40.180.10.1.2.1.1.1.386;2.40.180.10.1.2.1.1.2.386;2.40.180.10.1.2.1.1.3.386;2.40.180.10.1.2.1.1.4.386;3.40.50.880.31.1.1.1.1.153;3.40.50.880.31.1.1.2.1.153;3.40.50.880.31.1.1.3.1.153;3.40.50.880.31.1.1.4.1.153,3ttvA02;3ttvB02;3ttvC02;3ttvD02;3ttvA01;3ttvB01;3ttvC01;3ttvD01;3ttvA03;3ttvB03;3ttvC03;3ttvD03,h2o2_c,h2o_c;o2_c
212,b3942,P13029,CAT,,,,h2o2_c,h2o_c;o2_c
213,b1270,P0A9H5,CBIAT;CBLAT,,,,cbi_c;adocbi_c;atp_c;pppi_c;h_c;cbl1_c;adocbl_c,cbi_c;adocbi_c;atp_c;pppi_c;h_c;cbl1_c;adocbl_c
214,b0521,P37306,CBMKr,,,,cbp_c;co2_c;atp_c;h_c;nh4_c;adp_c,cbp_c;co2_c;atp_c;h_c;nh4_c;adp_c
215,b0032;b0033,P0A6F1;P00968,CBPS,1a9x;1c30,1.10.1030.10.1.1.1.1.1.150;1.10.1030.10.1.1.1.1.2.150;1.10.1030.10.1.1.1.1.3.150;1.10.1030.10.1.1.1.1.4.150;3.30.470.20.8.1.1.1.1.203;3.30.470.20.8.1.1.1.2.203;3.30.470.20.8.1.1.1.3.203;3.30.470.20.8.1.1.1.4.203;3.30.470.20.8.2.1.1.1.217;3.30.470.20.8.2.1.1.2.217;3.30.470.20.8.2.1.1.3.217;3.30.470.20.8.2.1.1.4.217;3.30.1490.20.8.1.1.1.1.70;3.30.1490.20.8.1.1.1.2.70;3.30.1490.20.8.1.1.1.3.70;3.30.1490.20.8.1.1.1.4.70;3.30.1490.20.16.1.1.2.1.55;3.30.1490.20.16.1.1.2.2.55;3.30.1490.20.16.1.1.2.3.55;3.30.1490.20.16.1.1.2.4.55;3.40.50.20.10.1.1.1.1.110;3.40.50.20.10.1.1.1.2.110;3.40.50.20.10.1.1.1.3.110;3.40.50.20.10.1.1.1.4.110;3.40.50.20.10.2.1.1.1.116;3.40.50.20.10.2.1.1.2.116;3.40.50.20.10.2.1.1.3.116;3.40.50.20.10.2.1.1.4.116;3.40.50.880.30.1.1.1.1.227;3.40.50.880.30.1.1.2.1.227;3.40.50.880.30.1.1.3.1.227;3.40.50.880.30.1.1.4.1.227;3.40.50.1380.8.1.1.1.1.106;3.40.50.1380.8.1.1.1.2.106;3.40.50.1380.8.1.1.1.3.106;3.40.50.1380.8.1.1.1.4.106;3.50.30.20.1.1.1.1.1.150;3.50.30.20.1.1.1.1.2.150;3.50.30.20.1.1.1.1.3.150;3.50.30.20.1.1.1.1.4.150;1.10.1030.10.1.1.1.1.5.150;1.10.1030.10.1.1.1.1.6.150;1.10.1030.10.1.1.1.1.7.150;1.10.1030.10.1.1.1.1.8.150;3.30.470.20.8.1.1.1.5.203;3.30.470.20.8.1.1.1.6.203;3.30.470.20.8.1.1.1.7.203;3.30.470.20.8.1.1.1.8.203;3.30.470.20.8.2.1.1.5.217;3.30.470.20.8.2.1.1.6.217;3.30.470.20.8.2.1.1.7.217;3.30.470.20.8.2.1.1.8.217;3.30.1490.20.8.1.1.1.5.70;3.30.1490.20.8.1.1.1.6.70;3.30.1490.20.8.1.1.1.7.70;3.30.1490.20.8.1.1.1.8.70;3.30.1490.20.16.1.1.1.4.55;3.30.1490.20.16.1.1.1.5.55;3.30.1490.20.16.1.1.1.6.55;3.30.1490.20.16.1.1.1.7.55;3.40.50.20.10.1.1.1.5.110;3.40.50.20.10.1.1.1.6.110;3.40.50.20.10.1.1.1.7.110;3.40.50.20.10.1.1.1.8.110;3.40.50.20.10.2.1.3.1.116;3.40.50.20.10.2.1.3.2.116;3.40.50.20.10.2.1.3.3.116;3.40.50.20.10.2.1.3.4.116;3.40.50.880.30.1.1.9.1.229;3.40.50.880.30.1.1.9.2.229;3.40.50.880.30.1.1.9.3.229;3.40.50.880.30.1.1.9.4.229;3.40.50.1380.4.1.1.1.1.137;3.40.50.1380.8.1.1.1.5.106;3.40.50.1380.8.1.1.1.6.106;3.40.50.1380.8.1.1.1.7.106;3.50.30.20.1.1.1.1.5.150;3.50.30.20.1.1.1.1.6.150;3.50.30.20.1.1.1.1.7.150;3.50.30.20.1.1.1.1.8.150,1a9xA04;1a9xC04;1a9xE04;1a9xG04;1a9xA06;1a9xC06;1a9xE06;1a9xG06;1a9xA02;1a9xC02;1a9xE02;1a9xG02;1a9xA03;1a9xC03;1a9xE03;1a9xG03;1a9xA07;1a9xC07;1a9xE07;1a9xG07;1a9xA05;1a9xC05;1a9xE05;1a9xG05;1a9xA01;1a9xC01;1a9xE01;1a9xG01;1a9xB02;1a9xD02;1a9xF02;1a9xH02;1a9xA08;1a9xC08;1a9xE08;1a9xG08;1a9xB01;1a9xD01;1a9xF01;1a9xH01;1c30A04;1c30C04;1c30E04;1c30G04;1c30A06;1c30C06;1c30E06;1c30G06;1c30A02;1c30C02;1c30E02;1c30G02;1c30A03;1c30C03;1c30E03;1c30G03;1c30A07;1c30C07;1c30E07;1c30G07;1c30A05;1c30C05;1c30E05;1c30G05;1c30A01;1c30C01;1c30E01;1c30G01;1c30B02;1c30D02;1c30F02;1c30H02;1c30A08;1c30C08;1c30E08;1c30G08;1c30B01;1c30D01;1c30F01;1c30H01,atp_c;h2o_c;hco3_c;gln__L_c,glu__L_c;cbp_c;pi_c;h_c;adp_c
216,b0444,P77756,CCGS,,,,atp_c;nh4_c;cdg_c,pi_c;preq0_c;h2o_c;h_c;adp_c
217,b3918,P06282,CDAPPA120;CDAPPA140;CDAPPA141;CDAPPA160;CDAPPA161;CDAPPA180;CDAPPA181,,,,cdpdhdec9eg_c;cdpdodecg_c;cdpdddecg_c;h2o_c;cdpdodec11eg_c;cdpdtdecg_c;cdpdhdecg_c;cdpdtdec7eg_c,cmp_c;pa140_c;pa161_c;pa120_c;pa141_c;h_c;pa181_c;pa180_c;pa160_c
218,b2794,Q46920,CDGR,,,,nadph_c;h_c;preq0_c,preq1_c;nadp_c
219,b2503,P77172,CDGUNPD,,,,cdigmp_c;h2o_c,5pg35pg_c;h_c
220,b1489,P76129,CDGUNPD;PDE1;PDE4,,,,cdigmp_c;camp_c;h2o_c;35cgmp_c,5pg35pg_c;gmp_c;amp_c;h_c
221,b3525,P37646,CDGUNPD,,,,cdigmp_c;h2o_c,5pg35pg_c;h_c
222,b1285,P77334,CDGUNPD;LDGUNPD,,,,5pg35pg_c;cdigmp_c;h2o_c,5pg35pg_c;gmp_c;h_c
223,b0315,P21514,CDGUNPD,,,,cdigmp_c;h2o_c,5pg35pg_c;h_c
224,b1208,P62615,CDPMEK,2ww4,3.30.70.890.15.1.1.1.1.119;3.30.70.890.15.1.1.1.2.118;3.30.230.10.6.3.1.3.1.164;3.30.230.10.6.3.1.3.2.164,2ww4A02;2ww4B02;2ww4A01;2ww4B01,atp_c;4c2me_c,h_c;adp_c;2p4c2me_c
225,b3614,P37691,CDPPH;NDP3;NDP7,,,,cdp_c;udp_c;h2o_c;gdp_c,cmp_c;gmp_c;pi_c;h_c;ump_c
226,b1661,P0A9H7,CFAS160E;CFAS160G;CFAS180E;CFAS180G,,,,amet_c;pg181_c;pe181_c;pe161_c;pg161_c,cpg160_c;ahcys_c;cpe160_c;cpe180_c;cpg180_c;h_c
227,b0311,P17444,CHOLD,,,,chol_c;nad_c,betald_c;h_c;nadh_c
228,b1619,P0AET8,CHOLID,1fmc,3.40.50.720.350.1.1.1.1.255;3.40.50.720.350.1.1.1.2.255,1fmcA00;1fmcB00,cholate_c;nad_c,h_c;dhcholn_c;nadh_c
229,b2599,P0A9J8,CHORM;PPNDH,,,,pphn_c;h_c;chor_c,co2_c;pphn_c;h2o_c;phpyr_c
230,b2600,P07023,CHORM;PPND,,,,pphn_c;nad_c;chor_c,co2_c;pphn_c;nadh_c;34hpp_c
231,b2329,P12008,CHORS,,,,3psme_c,pi_c;chor_c
232,b2538;b2539;b2540;b2542,P0ABR5;Q47140;P0ABW0;P77650,CINNDO;PPPNDO,,,,pppn_c;o2_c;nadh_c;h_c;cinnm_c,cenchddd_c;cechddd_c;nad_c
233,b0614;b0615;b0616;b0617,P0A6G5;P75726;P0A9I1;P69330,CITL,,,,cit_c,ac_c;oaa_c
234,b0789,P0AA84,CLPNS120pp;CLPNS140pp;CLPNS141pp;CLPNS160pp;CLPNS161pp;CLPNS180pp;CLPNS181pp,,,,clpn161_p;clpn180_p;pg180_p;clpn141_p;glyc_p;clpn181_p;pg161_p;pg120_p;clpn120_p;pg181_p;clpn140_p;clpn160_p;pg160_p;pg140_p;pg141_p,clpn161_p;clpn180_p;pg180_p;clpn141_p;glyc_p;clpn181_p;pg161_p;pg120_p;clpn120_p;pg181_p;clpn140_p;clpn160_p;pg160_p;pg140_p;pg141_p
235,b1249,P0A6H8,CLPNS120pp;CLPNS140pp;CLPNS141pp;CLPNS160pp;CLPNS161pp;CLPNS180pp;CLPNS181pp,,,,clpn161_p;clpn180_p;pg180_p;clpn141_p;glyc_p;clpn181_p;pg161_p;pg120_p;clpn120_p;pg181_p;clpn140_p;clpn160_p;pg160_p;pg140_p;pg141_p,clpn161_p;clpn180_p;pg180_p;clpn141_p;glyc_p;clpn181_p;pg161_p;pg120_p;clpn120_p;pg181_p;clpn140_p;clpn160_p;pg160_p;pg140_p;pg141_p
236,b2174,P76445,COLIPAKpp,,,,colipa_p;udcpdp_p,colipap_p;udcpp_p
237,b2765,P65870,CPH4S,4ntk,3.30.479.10.2.1.1.1.1.121;3.30.479.10.2.1.1.1.2.120;3.30.479.10.2.1.1.1.3.120;3.30.479.10.2.1.1.1.4.119;3.30.479.10.2.1.1.1.5.119;3.30.479.10.2.1.1.1.6.118,4ntkA00;4ntkE00;4ntkF00;4ntkC00;4ntkD00;4ntkB00,ahdt_c;h2o_c,cph4_c;pppi_c;h_c;acald_c
238,b4098,P16688,CPL,4xb6,3.40.50.11310.1.1.1.1.1.191;3.40.50.11310.1.1.1.2.1.192,4xb6F00;4xb6B00,prpmn_c,ch4_c;prcp_c
239,b0781;b0783,P30745;P0A738,CPMPS,,,,h2o_c;gtp_c,cpmp_c;ppi_c
240,b2436,P36553,CPPPGO,,,,o2_c;h_c;cpppg3_c,pppg9_c;co2_c;h2o_c
241,b3867,P32131,CPPPGO2,1olt,1.10.10.920.1.1.1.1.1.81;3.80.30.20.2.1.1.1.1.353,1oltA02;1oltA01,cpppg3_c;amet_c,pppg9_c;co2_c;dad_5_c;met__L_c
242,b0038,P31572,CRNBTCT;CRNCBCT,1xk7,3.30.1540.10.3.1.1.1.1.102;3.30.1540.10.3.1.1.2.1.102;3.30.1540.10.3.1.1.3.1.102;3.40.50.10540.2.1.1.1.1.288;3.40.50.10540.2.1.2.1.1.288;3.40.50.10540.2.1.3.1.1.288,1xk7A02;1xk7B02;1xk7C02;1xk7A01;1xk7B01;1xk7C01,ctbtcoa_c;crn_c;bbtcoa_c;ctbt_c;crncoa_c;gbbtn_c,ctbtcoa_c;crn_c;bbtcoa_c;ctbt_c;crncoa_c;gbbtn_c
243,b0037,P31552,CRNCAL2;CRNDCAL2;CTBTCAL2,,,,crn_c;coa_c;atp_c;ctbt_c;crn__D_c,crnDcoa_c;ctbtcoa_c;pi_c;crncoa_c;adp_c
244,b0036,P31551,CRNCAR;CRNCDH,,,,crnDcoa_c;h2o_c;crncoa_c;ctbtcoa_c,crnDcoa_c;h2o_c;crncoa_c;ctbtcoa_c
245,b0720,P0ABH7,CS,1owb,1.10.230.10.1.2.4.1.1.109;1.10.230.10.1.2.4.1.2.109;1.10.580.10.3.2.1.2.1.254;1.10.580.10.3.2.1.2.2.254;2.20.28.60.1.1.1.2.1.49;2.20.28.60.1.1.1.2.2.49,1owbA03;1owbB03;1owbA02;1owbB02;1owbA01;1owbB01,accoa_c;h2o_c;oaa_c,coa_c;cit_c;h_c
246,b0337,P25524,CSND,3r0d,2.30.40.10.1.1.1.3.1.98;3.20.20.140.2.1.1.4.1.308,3r0dA01;3r0dA02,h2o_c;h_c;csn_c,ura_c;nh4_c
247,b3846,P21177,CTECOAI6;CTECOAI7;CTECOAI8;ECOAH1;ECOAH2;ECOAH3;ECOAH4;ECOAH5;ECOAH6;ECOAH7;ECOAH8;HACD1;HACD2;HACD3;HACD4;HACD5;HACD6;HACD7;HACD8,,,,3hbcoa_c;3hddcoa_c;3oddcoa_c;tdecoa_c;odecoa_c;3hhcoa_c;aacoa_c;3hocoa_c;3ohodcoa_c;nad_c;3ohdcoa_c;hx2coa_c;dd2coa_c;3htdcoa_c;3hodcoa_c;3hdcoa_c;dc2coa_c;3odcoa_c;3hhdcoa_c;3otdcoa_c;hdcoa_c;h_c;3ohcoa_c;od2coa_c;hdd2coa_c;nadh_c;3oocoa_c;h2o_c;oc2coa_c;td2coa_c;b2coa_c,3hbcoa_c;3hddcoa_c;3oddcoa_c;tdecoa_c;odecoa_c;3hhcoa_c;aacoa_c;3hocoa_c;3ohodcoa_c;nad_c;3ohdcoa_c;hx2coa_c;dd2coa_c;3htdcoa_c;3hodcoa_c;3hdcoa_c;dc2coa_c;3odcoa_c;3hhdcoa_c;3otdcoa_c;hdcoa_c;h_c;3ohcoa_c;od2coa_c;hdd2coa_c;nadh_c;3oocoa_c;h2o_c;oc2coa_c;td2coa_c;b2coa_c
248,b2780,P0A7E5,CTPS2,1s1m,3.40.50.300.418.3.1.1.1.285;3.40.50.300.418.3.1.1.2.285;3.40.50.880.48.3.1.1.1.249;3.40.50.880.48.3.1.1.2.251,1s1mA01;1s1mB01;1s1mA02;1s1mB02,atp_c;h2o_c;utp_c;gln__L_c,glu__L_c;pi_c;h_c;ctp_c;adp_c
