,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains
265,b0429;b0430;b0431;b0432,P0ABJ6;P0ABJ3;P0ABI8;P0ABJ1,CYTBO3_4pp,,,
266,b2143,P0ABF6,CYTD;DCYTD,1ctt,3.40.140.10.14.1.1.1.1.151;3.40.140.10.24.1.1.1.1.115,1cttA01;1cttA02
267,b2162,P33022,CYTDH;URIH,1q8f,3.90.245.10.5.1.1.1.1.308;3.90.245.10.5.1.1.1.2.308;3.90.245.10.5.1.1.1.3.308;3.90.245.10.5.1.1.1.4.308,1q8fA00;1q8fB00;1q8fC00;1q8fD00
268,b0651,P41409,CYTDH;URIH,1yoe,3.90.245.10.5.2.2.1.1.302,1yoeA00
269,b2066,P0A8F4,CYTDK1;CYTDK2;URIK1;URIK2,,,
270,b0910,P0A6I0,CYTK1;CYTK2;UMPK,1cke,3.40.50.300.17.2.1.1.1.212,1ckeA00
271,b1189,P0A6J5,DAAD,,,
272,b4042,P0ABN1,DAGK120;DAGK140;DAGK141;DAGK160;DAGK161;DAGK180;DAGK181,3ze3,,
273,b2871,P66899,DAPAL,4d9i,3.40.50.1100.32.1.1.1.1.118;3.40.50.1100.32.1.1.2.1.118;3.40.50.1100.48.1.1.5.1.271;3.40.50.1100.48.1.1.5.2.272,4d9iA02;4d9iB02;4d9iA01;4d9iB01
274,b2838,P00861,DAPDC,1knw,2.40.37.10.18.1.1.1.1.176;3.20.20.10.27.1.1.1.1.245,1knwA01;1knwA02
275,b3809,P0A6K1,DAPE,4ijz,3.10.310.10.5.1.2.1.1.137;3.10.310.10.5.1.2.1.2.137;3.10.310.10.9.1.2.1.1.128;3.10.310.10.9.1.2.1.2.127,4ijzA02;4ijzB02;4ijzB01;4ijzA01
276,b0175,P0ABG1,DASYN120;DASYN140;DASYN141;DASYN160;DASYN161;DASYN180;DASYN181,,,
277,b3041,P0A7J0,DB4PS,1iez,3.90.870.10.1.2.1.3.1.217,1iezA00
278,b0778,P13000,DBTS,1byi,3.40.50.300.1.1.1.1.1.224,1byiA00
279,b1733,P37794,DC6PDA,,,
280,b2065,P28248,DCTPD,1xs1,2.70.40.10.17.1.1.2.1.193;2.70.40.10.17.1.1.2.2.193;2.70.40.10.17.1.1.2.3.193;2.70.40.10.17.1.1.2.4.193;2.70.40.10.17.1.1.2.5.193;2.70.40.10.17.1.1.2.6.193,1xs1A00;1xs1B00;1xs1C00;1xs1D00;1xs1E00;1xs1F00
281,b3693,P31459,DDGALK,,,
282,b3526,P37647,DDGLK,3lhx,3.40.1190.20.21.1.1.1.1.295;3.40.1190.20.21.1.1.2.1.290,3lhxA00;3lhxB00
283,b2601,P00888,DDPA,,,
284,b0754,P0AB91,DDPA,1n8f,3.20.20.70.118.2.2.1.1.343;3.20.20.70.118.2.2.1.2.343;3.20.20.70.118.2.2.1.3.343;3.20.20.70.118.2.2.1.4.343,1n8fA00;1n8fB00;1n8fC00;1n8fD00
285,b1704,P00887,DDPA,,,
286,b4477,Q6BF16,DDPGALA,2v82,3.20.20.70.197.1.1.1.1.204,2v82A00
287,b3648,P60546,DGK1;GK1,1s96,3.30.63.10.3.3.1.1.1.59;3.30.63.10.3.3.1.2.1.59;3.40.50.300.342.2.1.1.1.141;3.40.50.300.342.2.1.2.1.140,1s96A02;1s96B02;1s96A01;1s96B01
288,b1341,P77302,DGUNC,,,
289,b1794,P76245,DGUNC,,,
290,b1535,P31129,DGUNC,4h54,1.20.120.30.3.1.2.1.1.112;1.20.120.30.3.1.2.1.2.106;3.30.70.270.40.1.1.1.2.162;3.30.70.270.40.1.1.1.3.163,4h54A01;4h54B01;4h54A02;4h54B02
291,b1025,P75908,DGUNC,,,
292,b1490,P0AA89,DGUNC,,,
293,b1393,P76082,DHACOAH,4fzw,1.10.12.10.6.5.1.1.1.58;1.10.12.10.6.5.1.1.2.58;1.10.12.10.28.2.1.1.1.57;1.10.12.10.28.2.1.1.2.58;3.90.226.10.9.4.1.1.1.198;3.90.226.10.9.4.1.1.2.196;3.90.226.10.36.5.1.1.1.192;3.90.226.10.36.5.1.1.2.192,4fzwA02;4fzwB02;4fzwC02;4fzwD02;4fzwB01;4fzwA01;4fzwC01;4fzwD01
294,b3771,P05791,DHAD1;DHAD2,,,
295,b1198;b1199;b1200;b2415;b2416,P37349;P76014;P76015;P0AA04;P08839,DHAPT,,,
296,b0596,P15047,DHBD,2fwm,3.40.50.720.155.1.1.1.1.212,2fwmX00
297,b0594,P10378,DHBS,4iz6,1.10.1200.10.15.1.1.1.1.76;1.10.1200.10.15.1.1.1.3.74;3.30.300.30.16.3.1.1.1.106;3.30.300.30.16.3.1.1.2.108;3.40.50.12780.18.3.1.1.1.428;3.40.50.12780.18.3.1.1.2.429,4iz6B03;4iz6A03;4iz6A02;4iz6B02;4iz6B01;4iz6A01
298,b2541,P0CI31,DHCIND;DHPPD,,,
299,b0348,P0ABR9,DHCINDO;HPPPNDO,,,
300,b0031,P04036,DHDPRy,1dih,3.30.360.10.57.1.3.1.1.108;3.40.50.720.270.3.1.1.1.164,1dihA02;1dihA01
301,b2478,P0A6L2,DHDPS,2ojp,3.20.20.70.14.5.1.1.1.290;3.20.20.70.14.5.1.2.1.290,2ojpA00;2ojpB00
302,b1606,P0AFS3,DHFR;DHMPTR,,,
303,b0048,P0ABQ4,DHFR,4kjj,3.40.430.10.2.1.1.7.1.159,4kjjA00
304,b2315,P08192,DHFS,1w78,3.40.1190.10.10.1.2.1.1.281;3.90.190.20.6.1.1.1.1.132,1w78A01;1w78A02
305,b3930,P32166,DHNAOT4,,,
306,b2262,P0ABU0,DHNCOAS,4i42,1.10.12.10.8.2.1.1.4.49;1.10.12.10.8.2.1.1.5.49;1.10.12.10.8.2.1.1.6.49;1.10.12.10.8.2.1.1.7.49;1.10.12.10.8.2.1.1.8.49;1.10.12.10.8.2.1.1.9.49;1.10.12.10.8.2.1.1.10.49;1.10.12.10.8.2.1.1.11.49;1.10.12.10.8.2.1.1.12.49;1.10.12.10.8.2.1.1.13.49;1.10.12.10.8.2.1.1.14.49;1.10.12.10.8.2.1.1.15.49;3.90.226.10.19.1.1.1.1.219;3.90.226.10.19.1.1.1.2.221;3.90.226.10.19.1.1.1.3.221;3.90.226.10.19.1.1.1.4.222;3.90.226.10.19.1.1.1.5.222;3.90.226.10.19.1.1.1.6.222;3.90.226.10.19.1.1.1.7.222;3.90.226.10.19.1.1.1.8.222;3.90.226.10.19.1.1.1.9.222;3.90.226.10.19.1.1.1.10.222;3.90.226.10.19.1.1.1.11.222;3.90.226.10.19.1.1.1.12.205,4i42A02;4i42B02;4i42C02;4i42D02;4i42E02;4i42F02;4i42G02;4i42H02;4i42I02;4i42J02;4i42K02;4i42L02;4i42C01;4i42B01;4i42H01;4i42A01;4i42E01;4i42F01;4i42G01;4i42I01;4i42J01;4i42K01;4i42L01;4i42D01
307,b1686,P77781,DHNCOAT,4k49,3.10.129.10.3.1.1.2.1.136;3.10.129.10.3.1.1.2.2.136;3.10.129.10.3.1.1.2.3.136;3.10.129.10.3.1.1.2.4.136,4k49A00;4k49B00;4k49C00;4k49D00
308,b3058,P0AC16,DHNPA2r;DHNPTE,2o90,3.30.1130.10.1.1.1.1.1.115,2o90A00
309,b0945,P0A7E1,DHORD2;DHORD5,1f76,3.20.20.70.204.2.1.1.1.329;3.20.20.70.204.2.1.2.1.329;3.20.20.70.204.2.1.3.1.329;3.20.20.70.204.2.1.4.1.329,1f76A00;1f76B00;1f76D00;1f76E00
310,b1062,P05020,DHORTS,2z26,3.20.20.140.6.1.1.1.1.334;3.20.20.140.6.1.1.2.1.343,2z26B00;2z26A00
311,b3177,P0AC13,DHPS2,1aj0,3.20.20.20.6.4.2.1.1.282,1aj0A00
312,b0578,P38489,DHPTDNR;DHPTDNRN,1icr,3.40.109.10.13.1.1.1.1.216;3.40.109.10.13.1.1.1.2.216,1icrA00;1icrB00
313,b2303,P0AC19,DHPTPE,1b9l,3.30.1130.10.10.1.1.1.1.119;3.30.1130.10.10.1.1.1.2.119;3.30.1130.10.10.1.1.1.3.119;3.30.1130.10.10.1.1.1.4.119;3.30.1130.10.10.1.1.1.5.119;3.30.1130.10.10.1.1.1.6.119;3.30.1130.10.10.1.1.1.7.119;3.30.1130.10.10.1.1.1.8.119,1b9lA00;1b9lB00;1b9lC00;1b9lD00;1b9lE00;1b9lF00;1b9lG00;1b9lH00
314,b3389,P07639,DHQS,,,
315,b1693,P05194,DHQTi,,,
316,b0421,P22939,DMATT;GRTT,1rqj,1.10.600.10.3.5.1.1.1.299;1.10.600.10.3.5.1.1.2.298,1rqjA00;1rqjB00
317,b0029,P62623,DMPPS;IPDPS,3szu,3.40.50.11270.1.1.1.1.3.96;3.40.50.11270.1.1.1.1.4.97;3.40.1010.20.1.1.1.2.1.100;3.40.1010.20.1.1.1.2.2.100;3.40.1010.20.2.1.1.1.3.113;3.40.1010.20.2.1.1.1.4.113,3szuA02;3szuB02;3szuA03;3szuB03;3szuA01;3szuB01
318,b2232,P17993,DMQMT;OHPHM,4kdc,3.40.50.150.76.1.2.1.1.217,4kdcA00
319,b1587;b1588;b1589;b1590,P77374;P77783;P0AAJ1;P76173,DMSOR1;TMAOR1,,,
320,b0894;b0895;b0896,P18775;P18776;P18777,DMSOR1;DMSOR2;TMAOR1;TMAOR2,,,
321,b1872;b1873,P46923;P52005,DMSOR1pp;DMSOR2pp;TMAOR1pp;TMAOR2pp,,,
322,b1865,P0AFC0,DNTPPA;NTPP5,2o1c,3.90.79.10.27.1.1.1.1.147;3.90.79.10.27.1.1.1.2.146;3.90.79.10.27.1.1.1.3.142;3.90.79.10.27.1.1.1.4.142,2o1cA00;2o1cB00;2o1cC00;2o1cD00
323,b0099,P08337,DNTPPA;NTPP1;NTPP2,3a6s,3.90.79.10.52.1.1.1.1.125;3.90.79.10.52.1.1.1.2.121,3a6sA00;3a6sB00
324,b3575,P37672,DOGULNR,1nxu,1.10.1530.10.6.1.1.1.1.78;1.10.1530.10.6.1.1.2.1.78;3.30.60.50.1.1.1.1.1.42;3.30.60.50.1.1.1.2.1.39;3.30.1370.60.5.1.1.1.1.152;3.30.1370.60.5.1.1.2.1.143,1nxuA01;1nxuB01;1nxuB03;1nxuA03;1nxuB02;1nxuA02
325,b0103,P0A6I9,DPCOAK,1n3b,3.40.50.300.24.1.1.2.1.203;3.40.50.300.24.1.1.3.1.203;3.40.50.300.24.1.1.4.1.174,1n3bB00;1n3bC00;1n3bA00
326,b0425,P0A9J4,DPR,1yon,1.10.1040.10.10.2.1.1.2.123;3.40.50.720.181.1.1.1.2.167,1yonA02;1yonA01
327,b3774,P05793,DPR;KARA1;KARA2,3ulk,1.10.1040.10.47.1.1.1.1.281;1.10.1040.10.47.1.1.1.2.281;3.40.50.720.237.1.1.1.1.207;3.40.50.720.237.1.1.2.1.207,3ulkA02;3ulkB02;3ulkA01;3ulkB01
328,b4381,P0A6L0,DRPA,1p1x,3.20.20.70.4.1.1.1.1.251;3.20.20.70.4.1.1.1.2.250,1p1xB00;1p1xA00
329,b1185;b3860,P0A6M2;P0AEG4,DSBAO1;DSBAO2,1fvk;2zuq,3.40.30.10.201.2.1.1.7.188;3.40.30.10.201.2.1.1.8.188;1.20.1550.10.1.1.1.1.1.148;1.20.1550.10.1.1.1.1.2.148;2.60.40.10.7.2.1.1.754.103;2.60.40.10.7.2.1.1.755.103;2.60.40.10.44.1.1.2.35.101;2.60.40.10.44.1.1.2.39.95;2.60.40.10.54.2.53.1.1.115;2.60.40.10.54.2.53.1.2.119;2.60.40.10.84.1.2.6.1.112;2.60.40.10.84.1.2.6.2.112,1fvkA00;1fvkB00;2zuqA00;2zuqD00;2zuqB02;2zuqE02;2zuqC02;2zuqF02;2zuqC01;2zuqF01;2zuqB01;2zuqE01
330,b2893,P0AEG6,DSBCGT,1eej,3.10.450.70.2.1.2.1.1.61;3.10.450.70.2.1.2.1.2.61;3.40.30.10.120.1.1.2.1.139;3.40.30.10.120.1.1.2.2.139,1eejA01;1eejB01;1eejA02;1eejB02
331,b2582;b4136,P0AGG4;P36655,DSBDR,,,
332,b3781;b4136,P0AA25;P36655,DSBDR,,,
333,b0604,P77202,DSBGGT,1v58,3.10.450.70.1.1.1.2.1.71;3.10.450.70.1.1.1.2.2.71;3.40.30.10.166.1.1.1.2.158;3.40.30.10.166.1.1.1.3.158,1v58A01;1v58B01;1v58A02;1v58B02
334,b4122,P14407,DTARTD;FUM,,,
335,b1098,P0A720,DTMPK,4tmk,3.40.50.300.4.4.1.1.1.210,4tmkA00
336,b2146;b2147,P76440;P25889,DURADx,,,
337,b1238,P23331,DURIK1;TMDK1,,,
338,b4382,P07650,DURIPP;TMDPP,4ead,1.20.970.10.9.1.1.1.1.107;3.40.1030.10.2.1.1.1.1.229;3.90.1170.30.1.1.1.1.1.97,4eadA01;4eadA02;4eadA03
339,b4384,P0ABP8,DURIPP;PUNP1;PUNP2;PUNP3;PUNP4;PUNP5;PUNP6,1ecp,3.40.50.1580.2.1.1.1.16.237;3.40.50.1580.2.1.1.1.17.237;3.40.50.1580.2.1.1.1.18.237;3.40.50.1580.2.1.1.1.19.237;3.40.50.1580.2.1.1.1.20.237;3.40.50.1580.2.1.1.1.21.237,1ecpA00;1ecpB00;1ecpC00;1ecpD00;1ecpE00;1ecpF00
340,b3640,P06968,DUTPDP,1euw,2.70.40.10.1.1.1.1.1.136,1euwA00
341,b2251,P52006,DUTPDP;NTPP3;NTPP7,,,
342,b0173,P45568,DXPRIi,1q0q,1.10.1740.10.6.1.1.1.1.87;1.10.1740.10.6.1.1.1.2.87;3.40.50.720.367.1.1.1.1.150;3.40.50.720.367.1.1.1.2.150,1q0qA03;1q0qB03;1q0qA01;1q0qB01
343,b0420,P77488,DXPS,2o1s,3.40.50.920.12.1.1.1.1.120;3.40.50.920.12.1.2.1.1.120;3.40.50.920.12.1.3.1.1.120;3.40.50.920.12.1.4.1.1.119;3.40.50.970.36.1.1.1.1.227;3.40.50.970.36.1.1.2.1.228;3.40.50.970.36.1.1.3.1.184;3.40.50.970.36.1.1.4.1.178;3.40.50.970.47.1.1.1.1.171;3.40.50.970.47.1.1.2.1.171;3.40.50.970.47.1.1.3.1.171;3.40.50.970.47.1.1.4.1.171,2o1sB03;2o1sC03;2o1sD03;2o1sA03;2o1sC01;2o1sA01;2o1sB01;2o1sD01;2o1sA02;2o1sB02;2o1sC02;2o1sD02
344,b3564,P09099,DXYLK;XYLK,2itm,3.30.420.40.141.1.1.1.1.234;3.30.420.40.141.1.1.1.2.235;3.30.420.40.147.1.1.1.1.241;3.30.420.40.147.1.1.1.2.241,2itmB02;2itmA02;2itmA01;2itmB01
345,b0269,P77596,DXYLTD,,,
346,b4297,P39358,DXYLTD,,,
347,b2927,P0A9B6,E4PD,,,
348,b1779,P0A9B2,E4PD;GAPD;NADHHR;NADHHS;NADPHHR;NADPHHS,1s7c,3.30.360.10.3.1.4.1.7.166;3.40.50.720.128.4.2.1.7.164,1s7cA02;1s7cA01
349,b0822,P75792,E4PP;F1PP;F6PP;G3PT;G6PP;MN6PP;R5PP,1rlm,3.30.1240.10.6.1.1.2.1.107;3.30.1240.10.6.1.1.2.2.107;3.30.1240.10.6.1.1.2.3.107;3.30.1240.10.6.1.1.2.4.107;3.40.50.1000.47.1.1.1.1.162;3.40.50.1000.47.1.1.1.2.162;3.40.50.1000.47.1.1.1.3.162;3.40.50.1000.47.1.1.1.4.162,1rlmA02;1rlmB02;1rlmC02;1rlmD02;1rlmA01;1rlmB01;1rlmC01;1rlmD01
350,b1288,P0AEK4,EAR100x;EAR100y;EAR120x;EAR120y;EAR121x;EAR121y;EAR140x;EAR140y;EAR141x;EAR141y;EAR160x;EAR160y;EAR161x;EAR161y;EAR180x;EAR180y;EAR181x;EAR181y;EAR40x;EAR40y;EAR60x;EAR60y;EAR80x;EAR80y;EGMEACPR;EPMEACPR,1qsg,3.40.50.720.154.1.2.3.1.258;3.40.50.720.154.1.2.3.2.258;3.40.50.720.154.1.2.3.3.258;3.40.50.720.154.1.2.3.4.258;3.40.50.720.154.1.2.3.5.258;3.40.50.720.154.1.2.3.6.258;3.40.50.720.154.1.2.3.7.258;3.40.50.720.154.1.2.3.8.259,1qsgA00;1qsgB00;1qsgC00;1qsgD00;1qsgE00;1qsgF00;1qsgH00;1qsgG00
351,b3622,P27243,ECA4OALpp;O16A4Lpp,,,
352,b3785;b3793,P0AG00;P27835,ECAP1pp;ECAP2pp;ECAP3pp,,,
353,b3792,P0AAA7,ECAtpp,,,
354,b2341,P77399,ECOAH1;ECOAH2;ECOAH3;ECOAH4;ECOAH5;ECOAH6;ECOAH7;ECOAH8;HACD1;HACD2;HACD3;HACD4;HACD5;HACD6;HACD7;HACD8,,,
355,b1850,P0A955,EDA;OAADC,1wbh,3.20.20.70.128.1.1.1.1.214;3.20.20.70.128.1.1.1.3.213;3.20.20.70.128.1.1.1.4.213,1wbhB00;1wbhA00;1wbhC00
356,b1851,P0ADF6,EDD,,,
357,b1054,P0ACV0,EDTXS1,,,
358,b1855,P24205,EDTXS2;EDTXS4,,,
359,b2378,P0ACV2,EDTXS3,,,
360,b2779,P0A6P9,ENO,3h8a,3.20.20.120.45.2.1.1.5.304;3.20.20.120.45.2.1.1.6.304;3.20.20.120.45.2.1.1.7.304;3.20.20.120.45.2.1.1.8.305;3.30.390.10.6.4.1.1.5.125;3.30.390.10.6.4.1.1.6.125;3.30.390.10.6.4.1.1.7.125;3.30.390.10.6.4.1.1.8.125,3h8aA02;3h8aB02;3h8aC02;3h8aD02;3h8aA01;3h8aB01;3h8aC01;3h8aD01
361,b0583,P19925,ENTCS,,,
362,b2440;b2441,P19636;P0AEJ6,ETHAAL,,,
363,b3697,P0A8Y5,F1PP;F6PP;FBP;G1PP;MN6PP;R5PP,1rkq,3.30.1240.10.2.1.1.1.1.107;3.30.1240.10.2.1.1.1.2.107;3.40.50.1000.9.1.1.1.1.164;3.40.50.1000.9.1.1.1.2.164,1rkqA02;1rkqB02;1rkqA01;1rkqB01
364,b0825,P78055,F6PA,1l6w,3.20.20.70.143.1.1.2.1.220;3.20.20.70.143.1.1.2.2.220;3.20.20.70.143.1.1.2.3.220;3.20.20.70.143.1.1.2.4.220;3.20.20.70.143.1.1.2.5.220;3.20.20.70.143.1.1.2.6.220;3.20.20.70.143.1.1.2.7.220;3.20.20.70.143.1.1.2.8.220;3.20.20.70.143.1.1.2.9.220;3.20.20.70.143.1.1.2.10.220,1l6wA00;1l6wB00;1l6wC00;1l6wD00;1l6wE00;1l6wF00;1l6wG00;1l6wH00;1l6wI00;1l6wJ00
365,b3946,P32669,F6PA,,,
366,b0404,P21515,FA100ACPHi;FA120ACPHi;FA140ACPHi;FA141ACPHi;FA160ACPHi;FA161ACPHi;FA80ACPHi,,,
367,b0452,P0AGG2,FACOAE100;FACOAE120;FACOAE140;FACOAE141;FACOAE160;FACOAE161;FACOAE180;FACOAE181;FACOAE60;FACOAE80,1c8u,3.10.129.10.50.1.1.1.1.156;3.10.129.10.50.1.1.1.2.156;3.10.129.10.81.1.1.1.1.115;3.10.129.10.81.1.1.1.2.115,1c8uA01;1c8uB01;1c8uA02;1c8uB02
368,b3844,P0AEN1,FADRx;FE3Ri;FLVR;FLVRx;FMNRx;FMNRx2,1qfj,2.40.30.10.39.1.1.1.1.91;2.40.30.10.39.1.1.1.2.91;2.40.30.10.39.1.1.1.3.91;2.40.30.10.39.1.1.1.4.91;3.40.50.80.18.1.1.1.1.135;3.40.50.80.18.1.1.1.2.134;3.40.50.80.18.1.1.1.3.134;3.40.50.80.18.1.1.1.4.134,1qfjA01;1qfjB01;1qfjC01;1qfjD01;1qfjA02;1qfjB02;1qfjC02;1qfjD02
369,b2763;b2764,P17846;P38038,FADRx2;FLVR;FMNRx2;SULR,,,
370,b0356,P25437,FALDH2,,,
371,b2925,P0AB71,FBA;FBA3,1dos,3.20.20.70.60.2.2.1.1.358;3.20.20.70.60.2.2.1.2.358,1dosA00;1dosB00
372,b2097,P0A991,FBA,,,
373,b4232,P0A993,FBP,2gq1,3.30.540.10.2.1.1.1.1.168;3.40.190.80.4.2.1.1.1.136,2gq1A01;2gq1A02
374,b3925,P0A9C9,FBP,3big,3.30.540.10.8.1.1.1.1.156;3.40.190.90.1.1.1.1.1.165,3bigA01;3bigA02
375,b2930,P21437,FBP,,,
376,b2803,P11553,FCLK,,,
377,b2738,Q46890,FCLPA,,,
378,b2800,P0AB87,FCLPA,1e4c,3.40.225.10.3.2.1.1.1.206,1e4cP00
379,b0475,P23871,FCLT,,,
380,b2431,P76536,FCLT,,,
381,b1019,P31545,FCLT,2y4d,,
382,b3892;b3893;b3894,P0AEL0;P0AAJ5;P32176,FDH4pp;FDH5pp,,,
383,b1474;b1475;b1476,P24183;P0AAJ3;P0AEK7,FDH4pp;FDH5pp,1kqf,1.20.5.480.1.1.1.1.1.44;1.20.950.20.1.1.1.1.1.216;2.40.40.20.21.1.1.1.1.176;3.30.70.20.5.1.1.1.1.90;3.30.70.20.16.1.1.1.1.137;3.40.50.740.5.1.1.1.1.239;3.40.228.10.2.1.1.1.1.266,1kqfB03;1kqfC00;1kqfA04;1kqfB01;1kqfB02;1kqfA02;1kqfA03
384,b4209,P69506,FESR,5fnp,,
385,b2895;b3924,P0ABY4;P28861,FLDR2,2mt9;1fdr,3.40.50.360.6.5.1.1.1.173;2.40.30.10.24.1.1.2.1.92;3.40.50.80.6.1.1.1.1.152,2mt9A00;1fdrA01;1fdrA02
386,b0684;b3924,P61949;P28861,FLDR2,1fdr;2mok,2.40.30.10.24.1.1.2.1.92;3.40.50.80.6.1.1.1.1.152;3.40.50.360.6.2.1.1.4.176,1fdrA01;1fdrA02;2mokA00
387,b0025,P0AG40,FMNAT;RBFK,,,
388,b0937,P80644,FMNRx;FMNRx2,4ptz,3.40.50.360.23.2.1.1.1.174;3.40.50.360.23.2.1.1.2.174;3.40.50.360.23.2.1.1.3.173;3.40.50.360.23.2.1.1.4.173,4ptzC00;4ptzD00;4ptzA00;4ptzB00
389,b2912,P0AC28,FOMETRi,,,
390,b2374,P69902,FORCT,1pt7,3.30.1540.10.2.1.1.1.2.97;3.30.1540.10.2.1.1.1.3.97;3.40.50.10540.1.1.1.2.1.318;3.40.50.10540.1.1.1.2.2.318,1pt7A02;1pt7B02;1pt7A01;1pt7B01
391,b4151;b4152;b4153;b4154,P0A8Q3;P0A8Q0;P0AC47;P00363,FRD2;FRD3,1kf6,1.10.1060.10.4.1.1.1.1.138;1.10.1060.10.4.1.1.1.2.138;1.20.58.100.8.1.1.1.1.120;1.20.58.100.8.1.1.1.2.120;1.20.1300.10.5.1.1.1.1.130;1.20.1300.10.5.1.1.1.2.130;1.20.1300.10.7.1.1.1.1.119;1.20.1300.10.7.1.1.1.2.119;3.10.20.30.20.2.1.1.1.104;3.10.20.30.20.2.1.1.2.104;3.50.50.60.113.4.1.1.1.306;3.50.50.60.113.4.1.1.2.306;3.90.700.10.3.3.1.1.1.116;3.90.700.10.3.3.1.1.2.116;4.10.80.40.4.1.1.1.1.35;4.10.80.40.4.1.1.1.2.35,1kf6B02;1kf6N02;1kf6A03;1kf6M03;1kf6C00;1kf6O00;1kf6D00;1kf6P00;1kf6B01;1kf6N01;1kf6A01;1kf6M01;1kf6A02;1kf6M02;1kf6A04;1kf6M04
392,b2168,P0AEW9,FRUK,,,
393,b3371,P0AC00,FRULYSDG,,,
394,b4474,P45541,FRULYSE,,,
395,b3374,P45543,FRULYSK,,,
396,b1232,P37051,FTHFD,,,
397,b1612,P0AC33,FUM,,,
398,b1611,P05042,FUM,1fur,1.10.40.30.2.2.1.1.1.52;1.10.40.30.7.1.3.1.1.51;1.10.275.10.2.3.1.1.1.134;1.10.275.10.2.3.1.1.2.134;1.20.200.10.2.3.1.1.1.269;1.20.200.10.2.3.1.1.2.265,1furA03;1furB03;1furA01;1furB01;1furA02;1furB02
399,b3730,P0ACC7,G1PACT;UAGDP,1hv9,2.160.10.10.12.3.1.1.1.189;2.160.10.10.12.3.1.1.2.225;3.90.550.10.8.3.2.1.1.248;3.90.550.10.8.3.2.2.1.224,1hv9B02;1hv9A02;1hv9B01;1hv9A01
400,b3885,P0A8Y3,G1PP,2b0c,1.10.150.240.32.1.1.1.1.66;3.40.50.1000.105.1.1.1.1.133,2b0cA02;2b0cA01
401,b1002,P19926,G1PPpp;GAL1PPpp,1nt4,3.40.50.1240.7.1.2.1.1.244;3.40.50.1240.7.1.2.1.2.244;3.40.50.1240.25.1.2.1.1.147;3.40.50.1240.25.1.2.1.2.147,1nt4A01;1nt4B01;1nt4A02;1nt4B02
402,b2039,P37744,G1PTT,1h5r,3.90.550.10.5.1.2.1.1.290;3.90.550.10.5.1.2.1.2.290;3.90.550.10.5.1.2.1.3.290;3.90.550.10.5.1.2.2.1.290,1h5rA00;1h5rC00;1h5rD00;1h5rB00
403,b3789,P61887,G1PTT,1mc3,3.90.550.10.5.2.3.1.1.286;3.90.550.10.5.2.3.2.1.286,1mc3A00;1mc3B00
404,b0154,P23893,G1SAT,,,
405,b2533,P0ADG4,G2PP;MI1PP,2qfl,3.30.540.10.11.2.1.1.1.140;3.40.190.80.8.1.1.1.1.122,2qflA01;2qflA02
406,b4055,P0AE22,G2PPpp;NTD10pp;NTD11pp;NTD12pp;NTD1pp;NTD2pp;NTD3pp;NTD4pp;NTD5pp;NTD6pp;NTD7pp;NTD8pp;NTD9pp;PSP_Lpp;PTHRpp;R5PPpp;TYRPpp,,,
407,b1094;b4041,P0A6A8;P0A7A7,G3PAT120;G3PAT140;G3PAT141;G3PAT160;G3PAT161;G3PAT180;G3PAT181,,,
408,b3608,P0A6S7,G3PD2,,,
409,b2241;b2242;b2243,P0A9C0;P13033;P0A996,G3PD5;G3PD6;G3PD7,,,
410,b3426,P13035,G3PD5,2qcu,1.10.8.870.1.1.1.1.1.71;1.10.8.870.1.1.1.1.2.71;3.30.9.10.5.1.1.1.1.161;3.30.9.10.5.1.1.1.2.161;3.50.50.60.16.1.1.1.1.229;3.50.50.60.16.1.1.1.2.227,2qcuA03;2qcuB03;2qcuA02;2qcuB02;2qcuB01;2qcuA01
411,b0675,P0AF24,G3PT;NTD2;NTD4;NTD7;NTD9;PYDXPP;R5PP,2c4n,3.40.50.1000.63.1.1.1.1.146;3.40.50.1000.119.1.1.1.1.104,2c4nA01;2c4nA02
412,b0243,P07004,G5SD,,,
413,b0678,P0A759,G6PDA,1fs5,3.40.50.1360.17.1.2.1.1.266;3.40.50.1360.17.1.2.1.2.266,1fs5A00;1fs5B00
414,b1852,P0AC53,G6PDH2r,,,
415,b3128,P39829,GALCTD,,,
416,b4358,P39400,GALCTLO,,,
417,b4478,Q6BF17,GALCTND,,,
418,b0757,P0A6T3,GALKr,,,
419,b0756,P0A9C3,GALM2pp,,,
420,b4119,P06720,GALS3,,,
421,b3628,P27127,GALT1,,,
422,b1236,P0AEP3,GALUi,2e3d,3.90.550.10.13.1.1.1.1.278;3.90.550.10.13.1.1.1.2.281;3.90.550.10.13.1.1.1.3.286;3.90.550.10.13.1.1.1.4.288,2e3dD00;2e3dB00;2e3dA00;2e3dC00
423,b2500,P08179,GARFT,1jkx,3.40.50.170.4.1.1.1.1.209;3.40.50.170.4.1.1.1.2.209;3.40.50.170.4.1.1.1.3.209;3.40.50.170.4.1.1.1.4.209,1jkxA00;1jkxB00;1jkxC00;1jkxD00
424,b1415,P25553,GCALDD;LCADi,2imp,3.40.309.10.20.3.1.1.1.191;3.40.605.10.12.2.1.1.1.285,2impA02;2impA01
425,b2052,P32055,GDMANE;GOFUCR,1e6u,3.40.50.720.42.1.1.1.1.220;3.90.25.10.5.1.1.1.1.94,1e6uA01;1e6uA02
